,Valoracion,Texto
59,1,"El artículo es una buena idea Adolece de profundidad, se presenta muy someramente, no presenta una revisión de trabajos relacionados, no plantea el modelo y la red de sensores que va utilizar, por la redacción se estima que esta en un estado temprano de la investigación, falta desarrollo, ejemplo escenario de evaluación."
60,1,"En este trabajo se realiza una propuesta para la identificación de riesgos relativos al proceso de outsourcing de software, para lo cual se diseña una taxonomía que es aplicada preliminarmente en una organización como forma de validación, aunque sólo en la forma de una encuesta de opinión.  Para robustecer el aporte científico sería ideal contar con una aplicación real que acompañe el proceso de outsourcing de comienzo a fin de modo de poder dimensionar de mejor manera el real aporte y efectividad de la taxonomía propuesta"
61,2,"- Una revisión interesante de la literatura - La propuesta de Taxonomía presentada  - El Caso de Estudio está tratado de manera muy débil. Además, los resultados no son expresados de una manera más rigurosa (por ejemplo, con porcentajes o gráficos). - De acuerdo a formato, poner como mínimo 5 palabras clave. - Debe cumplir con formato exigido, por ejemplo, no debe usar “et al” ni en el texto ni en las referencias, debe dejar espacios entre párrafos, etc. - La referencia 10 ¿es una tesis o un informe técnico? - Sugiero cambiar color de letra de Figura 2 para mayor legibilidad. - La Figura 2, ¿es realmente la Figura 1? - El texto en azul ¿es figura o tabla? (no aparece su identificación) - Indica que el listado de la Tabla 3 corresponde a “cada uno” de los niveles descritos, pero en la Tabla 3 no aparece el tercer nivel y debe decir Figura 3 y no Tabla 3 - En Figura 3 respectiva, debe cambiar “D. Selección de Proveedores” por “F. Selección de Proveedores”. También debe cambiar “E. Establecimiento del acuerdo” por “G. Establecimiento del contrato”. - Debe utilizar la palabra “requisito” o “requerimiento” pero no ambas. - En “C. Procedimientos de verificación” debe cambiar “2. Entorno de validación” por “2. Entorno de verificación” y “3. Procedimiento y criterios de validación” por “3. Procedimiento y criterios de verificación” - Cambiar en referencia 24 “Standarization” por “Standardization”"
62,2,"El artículo describe un caso de innovación empresarial que apoya los procesos de aprendizaje organizacional. El principal mérito del caso es que se ha logrado un impacto muy significativo con una inversión modesta de recursos. Adicionalmente se enfatiza al conocimiento como un elemento estratégico para la organización, el cual requiere acciones concretas de gestión y asignación de recursos. Finalmente, se debe destacar una redacción impecable y amena del caso."
63,-1,"El artículo describe una interesante aplicación en el ámbito de la capacitación y que entrega herramientas de gran utilidad para la empresa en el mejoramiento de los procesos del aprendizaje de los trabajadores. El artículo identifica las ventajas que este tipo de plataformas entrega a las empresas que las utilizan.  El artículo no define adecuadamente el propósito del mismo y establece en su inicio que este objetivo es ""dar a conocer"", lo cual no es un propósito adecuado para estas investigaciones.  El artículo se denomina plataforma para la gestión del conocimiento, sin embargo el artículo no define el marco teórico adecuado a esta temática. (no hay autores relevantes en la gestión del conocimiento y los procesos asociados a esta).  El artículo no justifica adecuadamente en la literatura la relevancia de estas plataformas en los proceso de aprendizaje y experiencias internacionales en el tema  No existe un apartado que presente la metodología de investigación seleccionada por los autores, más bien los autores describen una aplicación y sus componentes. Falta claramente el diseño de la investigación.  Las conclusiones del artículo se relacionan con la importancia de estas plataformas para la empresa, pero no se enfocan en los resultados obtenidos en la empresa que implementa, no hay recomendaciones para futuros estudios y no existe reconocimiento de las limitaciones del mismo"
64,2,"Desarrollar investigación asociada al tema de visión artificial es interesante de conocer, aún bajo condiciones que no son las óptimas, particularmente en los recursos de hardware.  En la sección de pruebas de luminosidad hay cierto desorden en la presentación de los resultados (por ejemplo, la figura 10. debería titularse Prueba Botella Cloro y no Prueba Caja). Lo que hace difícil su seguimiento. Las referencias bibliográficas podrían ser más actuales y de mejor nivel."
65,0,"La publicación trata sobre un sistema de reconstrucción de superficies a través de un escaneo, utilizando para ello una cámara de vídeo convencional, un motor y un láser. Bajo este esquema, se desarrolla un sistema de bajo coste, con las ventajas y limitaciones propias de la proposición.  - Creo que el sistema propuesto parte de una premisa interesante que es su bajo coste. Los sistemas comerciales para este tipo de desarrollos pueden ser, en la mayoría de las ocasiones, de costes muy elevados, dependiendo del tipo de elementos que se utilicen. - A pesar de la simpleza de la arquitectura propuesta, creo que el sistema es mejorable. Por ahora, creo que falta un camino por recorrer (de acuerdo a lo leído en el paper) en lo que refiere a su uso más allá del laboratorio.  Es por eso que en ORIGINALIDAD (ORIGINALITY) se califica con nota 4 (good)  - Una de las primeras debilidades encontradas en la publicación es su introducción. Esta peca, a mi parecer, de dos problemas: El primer problema es que su contenido es demasiado general, en toda su extensión se habla de qué es la visión por computador, en general,  pero no se detallan aspectos interesantes como el estado del arte en esta materia y una bibliografía relevante. Solo se dice a rasgos generales: ""En trabajos realizados relacionados con este tema, generalmente es el objeto el que se mueve en forma milimétrica..."". A partir de esto me surgen dudas como: ¿Hay otras formas de reconstruir superficies?, ¿Hay trabajos similares?, ¿En qué se diferencia esta técnica a otras?, ¿Cuál es el aporte de vuestro trabajo?, ¿Por qué no utilizar visión estéreo (quizás los costes sean similares)?.  El segundo problema encontrado es consecuencia del primero, ya que al tratar de explicar lo que es visión por computador a quedado demasiado larga (un poco más de tres columnas), y demasiado general. Quizás si se hubiera centrado la atención en el estado de arte esto no lo vería como problema.  - En el aspecto técnico veo que vuestra aproximación puede funcionar en un ambiente muy controlado, donde no hayan grandes cambios de iluminación y la superficie de los objetos escaneados sean de colores que no sean muy similares al fondo y/o haz de láser utilizados. La resta de fondo para entornos controlados puede funcionar pero en exteriores dudo que su sistema sea tan estable. Creo que en el texto se podrían haber enumerado los distintos métodos utilizados para la segmentación. En la página 4 se hace referencia pero no se profundiza (""Para la segmentación se probaron distintos métodos, de los cuales se seleccionó el método de resta de imágenes...""). Quizás sería bueno aprovechar algún espacio de color (RBG, YUV, etc.) y utilizar la distancia de Mahalanobis (obtener una muestra de un haz de láser o varios) para obtener una mejor segmentación de la luz láser.  - Sobre la presentación, he encontrado algunos errores que sería bueno mejorar:  - La figura 2 y figura 3 tienen el mismo título, creo que hay un error con el título de la figura 3.  - La figura 2 tiene algunos errores y que puede inducir a error. ""Proyector de luz"", la ""de"" está subrayada. Y ""b"" puede confundir ya que aparece con un guión bajo.  - Algunos detalles:   - Página 5: ""Lo anterior les genera...""   - Página 6: ""las cuales obtienes mejores...""   - La palabra láser aparece sin tilde en algunas ocasiones. Revisar el título que acompaña cada página.   - entre otros."
66,0,NO ME ENCUENTRO CAPACITADO PARA EFECTUAR ESTA REVISION. ESTA MUY LEJOS DE MI ESPECIALIZACION.
67,2,
68,2,"La novedad del tema a tratar hace del artículo una investigación interesante. Tiene una muy buena presentación y es fácil de leer, lo cual da un aspecto llamativo al tema. A pesar de ser un tema que incluye dos disciplinas muy distintas, han logrado sincronizar adecuadamente los conceptos de tal forma que la investigación es importante y aporta conocimiento desde la parte inicial del trabajo realizado, hasta las propias conclusiones Se recomienda a los autores seguir con el trabajo a fin de acabar otros aspectos relacionados con la salud pública.    Recomendaciones: Es indispensable mejorar la calidad de las figuras, existen algunas que es imposible visualizar, como es el caso de Figura 4, Figura 6, Figura 7 y Figura 8."
69,1,"- Buena revisión de tendencias, tecnologías y estándares que podrían utilizarse para la implementación de sistemas de telemedicina. - Interesante caso práctico que hacen del sistema SAT y sus posibles aplicaciones desde la Ing. de Software  - Las iniciativas y tendencias que muestran en telemedicina, deberían describirlas en función de los apartados que tratan en el artículo: integración, interoperabilidad y desarrollo de aplicaciones, y no en general como lo presentan. Por esta desarticulación, es posible que no sea muy clara la consecuencia entre lo que presentan en el resumen y lo que se encuentra en el desarrollo del paper. - Considero que el título no debería enfocarse solo hacia 'Herramientas', pues al comenzar a leer el trabajo queda la idea q el aporte y la revisión es mas a nivel operativo y de sistemas que apoyen el proceso, mas no de iniciativas en cuanto a estándares, proyectos y tecnologías desarrolladas para tal fin. El título no tiene el alcande del contenido.  El artículo describe en el caso chileno, cuáles podrían ser iniciativas, tendencias y tecnologías para la aplicación de ingeniería de software en el ámbito de la telemedicina. No representa originalidad como tal en ninguna de las dos áreas.  La calidad técnica es buena en cuanto a que la revisión que describen está soportada bibliográficamente, con tendencias, tecnologías y estándares actuales. En cuanto a la escritura técnica, sí hay errores en el adecuado uso de las siglas, en algunos casos no muestran su significado, en algunos otros casos no son bien utilizadas. (Por ejemplo: Se debe decir TIC, no TICs; en la citación de las referencias en el texto, se debe suprimir la puntuación antes del número --> especialista [14].; las figuras pueden mejorarse significativamente). La descripción de las 'tendencias' e 'iniciativas' daría mayor valor al artículo que ejemplos como el incluido en esta última sección donde muestran la representación de un mensaje en sintaxis diferentes.  Es relevante para el contexto chileno, en cuando presentan una propuesta interesante para que los diferentes actores (gobierno, desarrolladores, compañías) tengan en cuenta para impulsar esta área de trabajo.  La organización del documento se puede mejorar en los aspectos nombrados en 'calidad técnica, al igual que aspectos que evidencien una consecuencia y coherencia entre título, resumen y desarrollo del artículo. Así mismo, hay errores ortográficos y de redacción que, si se evitan, pueden darle mayor valor a la presentación del artículo."
70,1,
71,2,"Un muy buen trabajo, presenta integración de varias tecnologías de una forma clara y coherente  A pesar de que lo mencionan como trabajo futuro, se debería tener en cuenta el HL7 desde ya"
72,-2,"Este paper presenta problemas importantes en su formulación.  Los papers de experiencias prácticas deben entregar algo más que una simple descripción del sistema desarrollado: deben indicar claramente qué nuevo conocimiento, técnica o solución se obtuvo de dicha experiencia. Consecuentemente, un paper de esta naturaleza debería incluir, al menos, los siguientes elementos esenciales:  - Una introducción que explique claramente el propósito del trabajo: (a) el problema que fue resuelto directa o indirectamente con la experiencia práctica, (b) por qué el problema es importante y no trivial y (c) por qué que esta experiencia entregó información nueva dentro de dicho contexto (no obtenida con experiencias similares). - Marco teórico - La descripción del sistema: no debe ser una mera enumeración de sus componentes y funcionalidades, sino indicar claramente aquellos elementos que, durante su desarrollo, aportaron información relevante al problema del estudio. - Conclusiones: deben estar alineadas con los elementos de la introducción y deben estar soportados por la evidencia entregada en la descripción del sistema.  Analizando el paper bajo esta perspectiva, encontramos problemas importantes:  Primero, la introducción no es clara respecto al propósito del trabajo y. La única parte donde se mencionan los objetivos es en el 5o párrado, donde se indica que el caso de estudio es ""para demostrar empíricamente los costos de desarrollo"" asociados a las tecnologías mostradas en el paper. Esto, junto con ""destacar las principales características y potenciales virtudes de CakePHP y MVC.."" parecen ser los elementos centrales del paper.  Segundo, la descripción del sistema no difiere mucho de un manual de sistema; falta evidencia esencial para soportar los elementos de la introducción: costos de desarrollo asociados (tiempo, personas, recursos) que, se supone, deberían ser menores que con otra metodología. Si bien las secciones que describen CakePHP y MVC tienen información relevante para el problema, no aportan valor al trabajo si no están respaldadas por evidencia obtenida directamente de la experiencia de desarrollo con esta tecnología. Por sobre todo, eché de menos una comparación con alguna otra experiencia similar, indicando, claramente qué mejoras al desarrollo introduce CakePHP/MVC.  Por último, las conclusiones del paper no están alineadas con los elementos indicados en la introducción; algunas de ellas entregan información fuera del contexto (conclusiones #5 y #6) o son irrelevantes (conclusión #2); otras carecen de evidencias que las soporten (conclusión #1) o no son explicitas en asociar la evidencia con lo concluido (conclusiones #3 y #4).  Al margen de las observaciones anteriores, el paper también requiere mejoras en la presentación de la información. Por ejemplo, no es explícito el valor que el código SQL de las figuras 10 y 11 entregan al paper. Las Figuras 12-15 no están adecuadamente descritas. Una persona que no comprenda bien el trabajo con línea de comando puede terminar totalmente desorientada y no entenderá los argumentos esgrimidos.  Por todos esos motivos el paper no está en condiciones de ser aceptado para publicación."
73,-1,Presenta un framework para el trabajo de MVC con PHP de forma simple.  Podría ser un poco más técnico en cuanto a elementos de configuración y agregar comparación con otros frameworks existentes para entender por qué CakePHP y no otra alternativa.
74,-2,"El trabajo expone la aplicación del framewok CakePHP a un problema específico.  Expone en forma clara la utilización del patrón MVC mediante CakePHP.  La introducción es muy general y pone énfasis en elementos (calidad, tiempo y RAD) que no son desarrollados o demostrados en profundidad en el trabajo.  Presenta el caso de estudio en CakePHP, sin realizar una comparación específica a partir de los elementos que sean mediables (tiempo, costo) con otros frameworks.  Posee faltas ortográficas (Universiades).  Se menciona la utilización de la técnica de programación extrema, sin embargo, no se específica de que forma fue desarrollada por los autores.  Se presenta código SQL sin especificar como se encuentra relacionado con el framework CakePHP.  No se identifica de manera clara el aporte de los screenshots presentados.  Sería deseable una introducción más detallada el problema específico resuelto. No queda claro cuáles son los beneficios de utilizar CakePHP para el desarrollo de esta aplicación.  Las conclusiones son muy generales y distan de ser específicas para el trabajo desarrollado."
75,-2,"El trabajo es de baja calidad académica (describe sólo una idea de proyecto y no da evidencias útiles para ser reportadas en ambientes académicos) y de muy pobre redacción (no depurado y sin claridad). No creo que sea un aporte al congreso.  Ejemplos de carencias:  1. No existe ABSTRACT en inglés, sólo un RESUMEN con título de ABSTRACT, lo mismo en el caso de las KEYWORDS.  2. Errores gramaticales:  ·	Eliminar “,” en diversos lugares sin sentido gramatical. Ejemplos: ·	""En este artículo, se describen los antecedentes y la fundamentación teórica del proyecto"". ·	“… y la participación ciudadana, de donde surge la necesidad de realizar el proyecto” ·	“ Este cuestionamiento, permitirá que el lector se enfoque …” ·	“… más fácilmente, la forma” ·	Faltan “.” Finales: ·	Que el funcionamiento de una nación pueda basarse en el principio de democracia representativa ·	Las instituciones de una nación proporcionen a los ciudadanos medios y posibilidades de expresar su opinión ·	Faltan “y” ·	“… cuentas, desmonte de la cultura de corrupción.”, debe ser “… cuentas, y desmonte de la cultura de corrupción.” ·	Tiempos verbales errados: a.	“… lector se enfoque en el objetivo primordial de los desarrollos y podrá”,  podrá debe ser pueda. ·	Uso de “;”  y “,” en “ El artículo se estructura de la siguiente forma: en la sección 2 se describen las razones y el contexto actual que dieron origen a la idea que motivó el proyecto; en la sección 3 se plantean los objetivos propuestos; luego, en la sección 4, se delinea la metodología y se describen brevemente cada una de las fases o etapas de desarrollo y finalmente en la sección 5, se plantean las conclusiones a las que se ha podido llegar, luego de la ejecución de las fases 1, 2 y 3.” ·	Uso de punto aparte en vez de puntos seguido en varios párrafos.   3. En las referencias ·	Malas llamadas a las referencia en el texto, dice “[2], [3], [4], [5]” y debe ser “[2, 3, 4, 5]” ó “[2-5]” ·	Incompletas para [1] ¿Editorial, año? ·	Referencias en mal reportadas según estandar: ·	[2] Batista, C. TICs y Buen Gobierno: La contribución de las Tecnologías de la Información y la Comunicación al Gobierno Local en América Latina. Núcleo de Investigación en Políticas Públicas. Universidad de Brasilia, Brasil. UNESCO. 2003. ·	[3] Revelo, H. Gobernabilidad y Tecnologías de Información y Comunicaciones: Uso de las TIC para el fomento de condiciones para la Gobernabilidad, con énfasis en el ámbito Local. En: XI Congreso Iberoamericano de Derecho e Informática. Quito – Ecuador. Septiembre 28 al 30 del 2005. ·	[4] Toro Giraldo G. et al. Gobierno Electrónico Local e Inclusión Digital. Federación Colombiana de Municipios GTZ, 2006. ·	[5] http://www.iadb.org/sds/ICT/site_6198_s.htm  ·	[8] Solano, D., Perez, L., Velez-Langs, O. Citizen participation through web: e-democracy in Monteria.. Proceedings of the 3rd International Conference on Theory and Practice of Electronic Governance. Bogota Noviembre 2009. ·	[9] Perez Negrete, L., Velez Langs, O., Solano Oviedo, D. Análisis de la Recepción de un Portal de e-Democracia en Montería .. V Congreso Colombiano de Computación. Cartagena de Indias - Colombia Abril 2010. ·	[10] http://directwebremoting.org/dwr/ ·	[11] http://en.wikipedia.org/wiki/Apache_Wicket  4. No existen  fuentes de las figuras 1 y 2. 5. Dice que el objetivo general del proyecto es “proporcionar una arquitectura de apoyo a la toma de decisiones grupales y de comunicaciones, que facilite la participación ciudadana en aquellos procesos públicos relacionados con la toma de decisiones, promover su empleo en decisiones importantes y explorar los aspectos político-legales asociados al mismo” (falta . final) y se puede entender que el objetivo de artículo descrito como  “se describen los antecedentes y la fundamentación teórica del proyecto de investigación con el mismo nombre” … que como dice (finalmente) en  las conclusiones es “Desarrollo de Mecanismos de Participación Ciudadana en Montería a través de Internet”.  Este último objetivo no se cumple a mí entender. 6. En las conclusiones se entregan elementos desarrollo del trabajo como es “la opción escogida para el desarrollo del portal, siendo el manejador de contenidos Joomla! la herramienta utilizada para ello, debido a la facilidad de uso, administración y mantenimiento de todo portal o sitio web construido con este [8]. Joomla! fue elegido posteriormente a un estudio en donde también se consideraron otras tecnologías como DWR [10] o Wicket [11]. Dicha facilidad de administración y mantenimiento….”"
76,-1,"Un buen tema, en términos de convocar a la sociedad en las utilidades y aplicaciones de las TICs   Se dice en la propuesta que: ""se desarrollaran"" métodos, ""se proporcionará"" una arquitectura de apoyo a la toma de decisiones, ""se podrá"" medir la receptividad, ""se desarrollará"" un inventario de las TICs. Desgraciadamente, nada de lo anterior se pudo concretar con estudios que sustenten lo anterior. Se hacen juicios de valor sin tener el respaldo suficiente. No se menciona en la introducción la información de organismos internacional en el contexto de la propuesta, como OECD o World Economic Forum, entre otros. Además, no se fundamenta la diferencia, aporte e innovación de la presente propuesta con la que se presentó al Proceedings of the 3rd International Conference on Theory and Practice of Electronic Governance.Bogota Noviembre 2009."
77,0,"El tema de la participación ciudadana es hoy uno de los temas a nivel de gobierno  que interesa a los gobiernos y a los ciudadanos. Los autores presentan una aplicación que aplica estos conceptos en ámbito de gobierno local.  El objetivo del artículo no es claro. Los autores declaran que el proyecto asociado a este artículo tiene como objetivo desarrollar métodos que den soporte social a la participación de los ciudadanos de Monteria en los procesos y/o decisiones de gobierno.... Por otro lado ellos declaran que el objetivo  es proporcionar una arquitectura de apoyo  a la toma de decisiones grupales y de comunicaciones, que facilite la participación ciudadana en aquellos proceso públicos relacionados con la toma de decisiones , promover su empleo en decisiones importantes y explorar los aspectos políticos-legales asociados al mismo.  Sin embargo estos objetivos se refieren al proyecto ya que ellos no se desarrollan en el artículo. Los autores deben dejar claro el objetivo del artículo y este debe estar circunscrito a lo que se presenta en él.  El artículo también presenta aspectos negativos relacionados fundamentalmente con la revisión del estado del arte o de la literatura en el tema y en el desarrollo metodológico.  En relación a la revisión de la literatura los autores no presentan los principales estudios en el ámbito de la participación  ciudadana en el mundo. Existe un importante número de publicaciones que abordan este tema en los Estados Unidos y en Europa. Los modelos de madurez del gobierno electrónico abordan claramente este ámbito. Los autores deben  revisar en forma exhaustiva la literatura referente al tema.  El aspecto metodológico del artículo es incompleto ya que no establece un diseño de la investigación que identifique con claridad las herramientas a utilizar en cada etapa y la justificación de las mismas (comparativamente), solo se mencionan dos alternativas pero se desconoce las razones de su eliminación.   Dado que el trabajo se encuentra aún en su etapa de implementación es difícil determinar los beneficios finales de la implementación por lo cual los autores deben destacar esta limitación."
78,-2,"I don't think the work reported in this paper is suitable for the SCCC conference. The author should consider reporting this experience on a conference more focused on practice in computer engineering than in CS reserarch. The material presented in the paper could be of interest for practicioners working with Oracle, namely a particular product."
79,-1,"Tema bien tratado técnicamente y en forma clara.  El tema solo muestra un manejo técnico sobre una herramienta, y no aporta algo novedoso. Se recomienda hacer una comparación en complejidad sobe las SQL con datos primitivos versus a datos XML, y abarcar otros aspectos como por ejemplo la mejora, etc."
80,-2,"Se ajusta al formato solicitado y se puede leer sin dificultad.  El artículo básicamente es un revisión de las herramientas Xpath, Xquery y SQL/XML en Oracle 10g, ilustrando su uso con varios ejemplos.  No hay un aporte, en ya sea nuevo conocimiento o aplicación de la tecnología para resolver un problema real.  No hay resultados de investigación que mostrar ni discutir."
81,-1,"El articulo narra la experiencia del desarrollo de una solución robotizada para el problema industrial de reparación de motores eléctricos. En particular, el problema de realizar soldaduras de precisión de motores eléctricos mediante un brazo robótico. El artículo presenta aspectos prácticos del desarrollo de la solución, complementado con ilustraciones que ayudan a entender el problema y el proceso de desarrollo de la solución.  Entendiendo que se trata de una experiencia de transferencia tecnológica a la industria de servicios especializados de apoyo a la principal actividad económica regional (minería), se encontraron las siguientes falencias:  Aspectos de forma:  1. Se incurre recurrentemente en términos no técnicos, que confunden y no aportan antecedentes objetivos, además de fallas de redacción y ortografía. por ejemplo:  fallas infantiles --> simplemente debe ser ""fallas"" resultados óptimos --> si se emplea ""óptimo"" debe proveerse evidencia que sustente que es la mejor solución y no hay otra mejor. tasa de falla bastante alta --> es preferible indicar que la tasa de falla estimada es del 55% (5/9). ""bastante alta"" es ambigua. suelda --> solda? como le requerido --> como lo requerido como la General Electric, con muy buenos resultados --> como General Electric, con buenos resultados.  2. emplear siempre tercera persona.  esto nos entregó --> esto entregó lo que obtuvimos es lo siguiente --> lo que se obtuvo fue lo siguiente  3. no es relevante mencionar ciertas empresas a las cuales se le compró o se les encargó ciertos estudios: MOTORFIL, INDURA  4. Se asume que el lector conoce los términos y es capaz de identificar piezas como bobinas y conmutador desde las figuras. Esto no se debe asumir, y se debe explicar de manera clara y sencilla, e ilustrar su posición en las figuras donde se muestran motores eléctricos. Debe explicarse a pié de página nombres como Innova Chile y su rol en el proyecto.  5. Figura 6 es relevante en la explicación. Lamentablemente, es poco legible y esto debe ser corregido.  6. usar términos de alcanzable global más que local. por ejemplo, costo cercano al millón de pesos (chilenos?) --> costo equivalente a U$2.000 aprox.  7. Gráfico 1 (debe ser Figura 4): uniformar tamaños de fonts e indicar la variable en el eje X.  Aspectos de fondo:  1. falta una sección de background que permita entender luego términos que se utilizan posteriormente sin haberlos definidos/explicados previamente. En este sentido, hay un párrafo que explica que es un robot, pero aparece dentro de la sección de Robotización del Proceso de Soldadura, por lo que está mal ubicado. Debe estar antes junto con los demás elementos del background.  2. cuando se explica cómo se realizó la programación del robot, falta un dibujo o figura que apoye la explicación (plano de referencia, plano de usuario, plano de herramienta, etc.). Lo mismo es válido para la explicación de porqué se agregó un sensor óptico (agregar un dibujo o figura ilustrativa).  3. Se hacen afirmaciones que no se sustentan con referencias a estudios o documentos. Por el contrario, las referencias no son citadas dentro del cuerpo del artículo.  4. revisar la versión en inglés del resumen. Hay varios errores de redacción y gramática.  5. no hay información técnica en detalle de cómo se realizaron los pasos de programación del robot, por ejemplo. Solo hay descripciones generales."
82,2,"Es un excelente trabajo de investigación de aplicación tecnológica, vinculada con una empresa de la zona, artículo muy apropiado para Infonor  Tiene fallas con respecto a un artículo tradicional, no hay trabajos relacionados, citaciones, referencias, etc. Tiene problemas de redacción, pero es claro en lo que presenta. Tiene frases largas y hay problemas de puntuación. Habría que adaptarlo para que pase la revisión de la revista."
83,1,"Este es un trabajo que muestra la experiencia de incorporación de un robot para realizar soldaduras en una empresa de Antofagasta.  La incorporación de tecnología es importante en la Empresa y me parece importante que las empresas confíen en las Universidades para hacerlo. Es un tema importante de revisar en las jornadas.  Revisar aspectos de formato (redacción en tercera persona, ortografía, algunas imágenes no son claras, contiene 7 páginas y sólo eran consideradas 6 o 10) No queda clara si la Empresa utiliza robot y soldadores o sólo robots. No hay una evaluación de los beneficios en cuanto a dinero percibidos por la utilización del robot."
84,2,Me ha gustado mucho  Lo dejaría tal cual.
85,2,"La ponencia es muy completa es un tema importante y original, con una calidad técnica muy adecuada y una presentación magnífica"
86,0,"Es un trabajo bien hecho sin lugar a dudas, el autor dice que hace una contrastación en varias organizaciones sobre el tema.  Faltan antecedentes en relación a los ERP investigados. El modelo que él plantea no es novedoso, es más bien lógico y práctico. Es una investigación normal y su aporte es regular. Creo que un análisis cómo este requiere un análisis más profundo en aspectos económicos y financieros, porque las decisiones para la adquisición de este tipo de herramientas son: operacionales, económicas y financieras."
87,2,"En esta investigación se trata un tema que cada vez es más importante en ámbitos académicos y empresariales. Por otra parte, se utilizan métodos de análisis de datos complejos y muy adecuados a los objetivos de la investigación y los autores los que sirven de referencia básica para la investigación son muy adecuados.  En la medida en que el objeto material de la investigación es el individuo, entiendo que, cuando se describe la muestra, es conveniente, no sólo describir el perfil de la empresa, sino el perfil del individuo entrevistado (edad, sexo, puesto que ocupa, etc.). •	El apartado conclusiones merece, a mi juicio, una mayor atención, que incluya no sólo los resultados de la investigación, sino una discusión más amplia. •	Las limitaciones de la investigación hacen referencia al tamaño de la muestra y al tipo de muestreo empleado, pero no hacen referencia a la dimensión del modelo. En este sentido, sería conveniente plantear, como línea de investigación futura, la ampliación del modelo con nuevas variables e indicadores •	las referencias bibliográficas son anteriores al año 2009. Sugiero consultar las siguientes o	The effect of organizational support on ERP implementation DonHee Lee,  Sang M. Lee, David L. Olson, Soong Hwan Chung.  Industrial Management + Data Systems.  Wembley:2010.  Vol. 110,  Iss. 2,  p. 269-283 o	Predicting the behavioral intention to use enterprise resource planning systems :An exploratory extension of the technology acceptance model Fethi Calisir,  Cigdem Altin Gumussoy,  Armagan Bayram.  Management Research News.  Patrington:2009.  Vol. 32,  Iss. 7,  p. 597-613 o	Organizational adoption of information technologies: Case of enterprise resource planning systems Onur Kerimoglu,  Nuri Basoglu,  Tugrul Daim.  Journal of High Technology Management Research.  Greenwich:2008.  Vol. 19,  Iss. 1,  p. 21"
88,-1,"Abstract: Needs to have a definition of ERP - can't assume the reader knows what this means.  Intro: Avoid 1 sentence paragraphs (page 1) The introduction is rather long - it seems to actually be two different sections: an introduction (1st four paragraphs) and 1+ page of background and hypothesis. Overall - at 1.5 pages the intro is rather long for a paper that is 4 pages total.  Methodology: I think there are a lot of assumptions in regards to what ERP are and how they work.  While the paper is a statistical study, it would have benefited with a context of an actual example.  The samples are from small to medium size companies (how many?) with 49 use case (how do these relate?).  Results: Discussion is too limited - it assumes that a reader is very familiar with the area, and that may not be the case."
89,1,"El artículo presenta un estudio de la percepción que tienen los ingenieros de requisitos (noveles y expertos) en relación a la efectividad de las diferentes técnicas de educción  para el descubrimiento de los requisitos en un proyecto de desarrollo de software.  El articulo trata un tema que merece cierta atención ante la gran cantidad de técnicas de educción que existen y la desorientación de los ingenieros de requisitos respecto de cuál utilizar en un determinado contexto.  El estudio realizado considera como noveles Ingenieros que no tienen conocimiento de técnicas de educción y uno de los atributos que debe ser calificado como base del estudio comparativo, es precisamente su experiencia. De hecho como conclusión se expresa que “una más amplia formación y principalmente de tipo práctica, es necesaria para que los ingenieros noveles puedan decidir….”, eso es de Perogrullo. Debería ser considera una gama mayor de atributos del contexto como los sugeridos en [14], que permitan conclusiones más veraces."
90,1,"Es un estudio realizado bajo una metodología formal (técnica de emparrillado). El objetivo tras el estudio es mejorar la preparación de estrategias para la formación en técnicas de educción de requisitos, lo cual es un aporte dada la relevancia de la Ingeniería de Requisitos en el desarrollo de software. El estudio cubre una amplia variedad de técnicas de educción, entre las cuales se incorporan las más utilizadas en la práctica.  El estudio se aplicó a personas que pertenecen a una única institución (Universidad Politécnica de Madrid), sin duda esto es una limitante ya que todos tienen exactamente la misma formación, sería interesante aplicar el estudio a ingenieros noveles con diferentes formaciones. Las conclusiones obtenidas del estudio no son novedosas, confirman lo que por lógica se podía esperar."
91,2,"El artículo presentado, describe someramente los estudios realizados y decisiones adoptadas, que permiten dotar de una infraestructura de alta capacidad a los observatorios ESO Paranal y Cerro Armazones, ubicados en el desierto de atacama.  Se presentan las diversas etapas involucradas en el desafío por dotar de un gran ancho de banda a los mencionados observatorios ubicados en aéreas no pobladas (pleno desierto) para su conexión expedita con diversas redes académicas y la comunidad astronómica europea lo cual constituye un buen desafío desde el punto de vista tecnológico.  Sería importante destacar porqué de la necesidad de contar con grandes anchos de banda, es decir describir en mayor detalle el tipo de tráfico que lo justifica, por ejemplo monitoreo, control y operación remota, etc.  Aún no está en operación el enlace"
92,2,"Presenta un trabajo de gran relevancia para la ciencia en Chile, mencionando elementos muy necesarios para el desarrollo de las comunicaciones de alto desempeño en los polos tecnológicos y de investigación  Podría profundizar en una breve descripción técnica de la tecnología que se menciona en el paper, dado que el trabajo no es autocontenido."
93,2,Es un proyecto de alta envergadura que necesita ser conocido por la comunidad académica  Colocará en la presentación los valores del proyecto
